ts,o,h,l,c
2019/09/17,10249.68000000,10275.00000000,10128.01000000,10187.82000000
2019/09/18,10187.48000000,10258.02000000,10100.00000000,10156.99000000
2019/09/19,10156.41000000,10325.00000000,9653.00000000,10244.29000000
2019/09/20,10243.70000000,10281.00000000,10061.39000000,10168.59000000
2019/09/21,10167.92000000,10176.70000000,9900.00000000,9986.39000000
2019/09/22,9985.15000000,10089.00000000,9853.97000000,10028.87000000
2019/09/23,10028.05000000,10049.99000000,9615.77000000,9702.25000000
2019/09/24,9702.20000000,9794.99000000,7800.00000000,8493.14000000
2019/09/25,8497.55000000,8730.00000000,8215.64000000,8430.05000000
2019/09/26,8430.05000000,8465.99000000,7750.00000000,8063.73000000
2019/09/27,8063.49000000,8265.00000000,7852.15000000,8177.91000000
2019/09/28,8177.47000000,8315.00000000,8001.09000000,8198.81000000
2019/09/29,8199.38000000,8229.13000000,7890.00000000,8043.82000000
2019/09/30,8043.04000000,8337.26000000,7710.00000000,8289.34000000
2019/10/01,8289.97000000,8500.00000000,8173.05000000,8292.44000000
2019/10/02,8292.67000000,8373.91000000,8151.22000000,8359.94000000
2019/10/03,8360.00000000,8393.00000000,8060.00000000,8223.96000000
2019/10/04,8224.43000000,8232.41000000,8005.00000000,8137.13000000
2019/10/05,8137.09000000,8183.41000000,8012.98000000,8126.19000000
2019/10/06,8127.55000000,8153.87000000,7785.00000000,7854.25000000
2019/10/07,7855.30000000,8299.92000000,7762.00000000,8190.09000000
2019/10/08,8190.82000000,8325.00000000,8088.75000000,8168.39000000
2019/10/09,8170.79000000,8670.00000000,8115.00000000,8560.74000000
2019/10/10,8562.15000000,8644.00000000,8414.52000000,8558.03000000
2019/10/11,8557.82000000,8779.51000000,8212.38000000,8258.50000000
2019/10/12,8257.95000000,8400.00000000,8250.00000000,8300.09000000
2019/10/13,8301.98000000,8451.37000000,8160.00000000,8275.01000000
2019/10/14,8275.24000000,8388.85000000,8203.00000000,8348.20000000
2019/10/15,8346.86000000,8403.00000000,8090.00000000,8159.29000000
2019/10/16,8159.30000000,8181.16000000,7917.00000000,7991.74000000
2019/10/17,7995.02000000,8124.92000000,7929.03000000,8070.58000000
2019/10/18,8070.71000000,8115.00000000,7816.01000000,7947.01000000
2019/10/19,7946.89000000,8098.10000000,7866.92000000,7948.01000000
2019/10/20,7949.87000000,8297.00000000,7870.00000000,8223.35000000
2019/10/21,8223.35000000,8333.00000000,8142.03000000,8197.27000000
2019/10/22,8197.28000000,8297.99000000,8000.00000000,8020.00000000
2019/10/23,8020.06000000,8047.59000000,7300.00000000,7466.62000000
2019/10/24,7468.47000000,7503.68000000,7337.99000000,7412.41000000
2019/10/25,7412.41000000,8799.00000000,7361.00000000,8655.02000000
2019/10/26,8655.88000000,10370.00000000,8470.38000000,9230.00000000
2019/10/27,9230.00000000,9794.98000000,9074.34000000,9529.93000000
2019/10/28,9528.23000000,9902.10000000,9160.00000000,9205.14000000
2019/10/29,9204.45000000,9550.00000000,9072.00000000,9407.62000000
2019/10/30,9407.62000000,9409.84000000,9001.01000000,9154.72000000
2019/10/31,9154.02000000,9405.00000000,8913.00000000,9140.85000000
2019/11/01,9140.86000000,9279.00000000,9030.00000000,9231.61000000
2019/11/02,9231.40000000,9373.74000000,9186.21000000,9289.52000000
2019/11/03,9289.85000000,9362.57000000,9066.14000000,9194.71000000
2019/11/04,9196.46000000,9513.68000000,9115.84000000,9393.35000000
2019/11/05,9392.40000000,9454.95000000,9175.76000000,9308.66000000
2019/11/06,9307.73000000,9440.91000000,9250.01000000,9339.05000000
2019/11/07,9339.16000000,9375.00000000,9101.00000000,9216.20000000
2019/11/08,9214.00000000,9261.00000000,8696.00000000,8773.73000000
2019/11/09,8773.74000000,8880.00000000,8724.88000000,8809.41000000
2019/11/10,8809.18000000,9147.19000000,8750.00000000,9039.47000000
2019/11/11,9040.16000000,9072.32000000,8618.68000000,8733.27000000
2019/11/12,8733.36000000,8888.00000000,8567.60000000,8821.94000000
2019/11/13,8821.91000000,8844.99000000,8702.00000000,8777.12000000
2019/11/14,8777.54000000,8800.00000000,8582.60000000,8646.68000000
2019/11/15,8646.38000000,8790.00000000,8400.00000000,8471.73000000
2019/11/16,8471.62000000,8543.00000000,8400.00000000,8491.02000000
2019/11/17,8490.74000000,8635.00000000,8350.68000000,8502.40000000
2019/11/18,8502.87000000,8503.52000000,8060.00000000,8187.17000000
2019/11/19,8186.50000000,8218.63000000,8003.00000000,8133.64000000
2019/11/20,8133.83000000,8264.29000000,8038.40000000,8098.01000000
2019/11/21,8098.56000000,8134.73000000,7500.00000000,7627.74000000
2019/11/22,7627.79000000,7750.00000000,6790.00000000,7268.23000000
2019/11/23,7268.23000000,7344.48000000,7080.01000000,7311.57000000
2019/11/24,7311.10000000,7330.39000000,6861.00000000,6903.28000000
2019/11/25,6900.23000000,7377.69000000,6515.00000000,7109.57000000
2019/11/26,7109.99000000,7340.00000000,7017.48000000,7156.14000000
2019/11/27,7154.75000000,7655.00000000,6840.00000000,7508.52000000
2019/11/28,7507.90000000,7643.00000000,7360.00000000,7419.49000000
2019/11/29,7418.52000000,7850.00000000,7362.30000000,7739.68000000
2019/11/30,7740.99000000,7810.00000000,7441.00000000,7541.89000000
2019/12/01,7540.63000000,7541.85000000,7210.00000000,7390.89000000
2019/12/02,7391.50000000,7420.56000000,7151.10000000,7294.28000000
2019/12/03,7294.42000000,7400.00000000,7241.35000000,7292.71000000
2019/12/04,7292.71000000,7750.00000000,7067.00000000,7194.32000000
2019/12/05,7194.59000000,7485.00000000,7150.00000000,7389.00000000
2019/12/06,7389.00000000,7590.03000000,7305.00000000,7527.47000000
2019/12/07,7527.80000000,7619.62000000,7470.16000000,7488.21000000
2019/12/08,7487.31000000,7564.00000000,7374.86000000,7510.11000000
2019/12/09,7510.11000000,7650.00000000,7273.00000000,7338.64000000
2019/12/10,7338.64000000,7407.60000000,7157.10000000,7224.13000000
2019/12/11,7224.15000000,7275.50000000,7125.66000000,7210.00000000
2019/12/12,7210.00000000,7295.00000000,7080.30000000,7198.08000000
2019/12/13,7197.76000000,7309.05000000,7190.76000000,7258.48000000
2019/12/14,7257.37000000,7271.77000000,7012.00000000,7064.05000000
2019/12/15,7064.14000000,7200.30000000,7008.35000000,7118.59000000
2019/12/16,7119.60000000,7150.00000000,6836.00000000,6891.72000000
2019/12/17,6891.44000000,6942.21000000,6560.00000000,6623.82000000
2019/12/18,6623.84000000,7440.00000000,6435.00000000,7277.83000000
2019/12/19,7277.83000000,7380.00000000,7038.31000000,7150.30000000
2019/12/20,7151.31000000,7220.00000000,7079.50000000,7187.83000000
2019/12/21,7188.01000000,7190.58000000,7105.00000000,7132.75000000
2019/12/22,7131.59000000,7518.54000000,7122.47000000,7501.44000000
2019/12/23,7500.71000000,7695.38000000,7265.84000000,7317.09000000
2019/12/24,7317.30000000,7436.68000000,7157.04000000,7255.77000000
2019/12/25,7255.77000000,7271.77000000,7128.86000000,7204.63000000
2019/12/26,7205.01000000,7435.00000000,7157.12000000,7202.00000000
2019/12/27,7202.00000000,7275.86000000,7076.42000000,7254.74000000
2019/12/28,7254.77000000,7365.01000000,7238.67000000,7316.14000000
2019/12/29,7315.36000000,7528.45000000,7288.00000000,7388.24000000
2019/12/30,7388.43000000,7408.24000000,7220.00000000,7246.00000000
2019/12/31,7246.00000000,7320.00000000,7145.01000000,7195.23000000
2020/01/01,7195.24000000,7255.00000000,7175.15000000,7200.85000000
2020/01/02,7200.77000000,7212.50000000,6924.74000000,6965.71000000
2020/01/03,6965.49000000,7405.00000000,6871.04000000,7344.96000000
2020/01/04,7345.00000000,7404.00000000,7272.21000000,7354.11000000
2020/01/05,7354.19000000,7495.00000000,7318.00000000,7358.75000000
2020/01/06,7357.64000000,7795.34000000,7346.76000000,7758.00000000
2020/01/07,7758.90000000,8207.68000000,7723.71000000,8145.28000000
2020/01/08,8145.92000000,8455.00000000,7870.00000000,8055.98000000
2020/01/09,8054.72000000,8055.96000000,7750.00000000,7817.76000000
2020/01/10,7817.74000000,8199.00000000,7672.00000000,8197.02000000
2020/01/11,8198.86000000,8286.34000000,8003.16000000,8020.01000000
2020/01/12,8020.01000000,8197.00000000,7960.00000000,8184.98000000
2020/01/13,8184.97000000,8196.00000000,8055.89000000,8110.34000000
2020/01/14,8110.34000000,8880.00000000,8105.54000000,8810.01000000
2020/01/15,8814.64000000,8916.48000000,8564.00000000,8821.41000000
2020/01/16,8820.01000000,8859.81000000,8586.00000000,8720.01000000
2020/01/17,8720.15000000,9041.65000000,8672.44000000,8913.28000000
2020/01/18,8913.27000000,8988.88000000,8806.38000000,8915.96000000
2020/01/19,8915.09000000,9198.98000000,8466.00000000,8701.70000000
2020/01/20,8701.72000000,8746.99000000,8521.28000000,8642.35000000
2020/01/21,8642.35000000,8789.00000000,8488.00000000,8736.03000000
2020/01/22,8736.04000000,8818.00000000,8590.00000000,8682.36000000
2020/01/23,8682.77000000,8691.81000000,8306.39000000,8404.52000000
2020/01/24,8404.52000000,8528.02000000,8238.00000000,8439.00000000
2020/01/25,8438.99000000,8451.26000000,8254.90000000,8340.58000000
2020/01/26,8340.01000000,8618.13000000,8293.66000000,8615.00000000
2020/01/27,8614.39000000,9000.00000000,8535.00000000,8907.57000000
2020/01/28,8907.57000000,9400.00000000,8862.40000000,9374.21000000
2020/01/29,9375.34000000,9449.24000000,9216.00000000,9301.53000000
2020/01/30,9301.57000000,9578.00000000,9204.44000000,9513.21000000
2020/01/31,9511.52000000,9530.22000000,9210.01000000,9352.89000000
2020/02/01,9351.71000000,9464.53000000,9281.00000000,9384.61000000
2020/02/02,9384.41000000,9477.03000000,9120.00000000,9331.51000000
