ts,o,h,l,c
2019/09/17,197.23000000,215.13000000,195.74000000,207.84000000
2019/09/18,207.85000000,217.27000000,207.66000000,210.21000000
2019/09/19,210.27000000,223.94000000,202.30000000,220.24000000
2019/09/20,220.26000000,221.54000000,212.05000000,218.03000000
2019/09/21,218.01000000,221.50000000,213.20000000,215.05000000
2019/09/22,215.04000000,215.61000000,206.10000000,211.20000000
2019/09/23,211.20000000,211.68000000,198.65000000,201.29000000
2019/09/24,201.25000000,202.98000000,150.03000000,165.81000000
2019/09/25,165.72000000,174.85000000,161.88000000,169.96000000
2019/09/26,169.96000000,171.01000000,152.11000000,165.92000000
2019/09/27,165.92000000,176.72000000,161.03000000,173.79000000
2019/09/28,173.83000000,175.49000000,168.00000000,173.49000000
2019/09/29,173.50000000,174.50000000,164.12000000,169.24000000
2019/09/30,169.26000000,181.24000000,165.01000000,180.85000000
2019/10/01,180.89000000,185.53000000,173.19000000,175.66000000
2019/10/02,175.65000000,181.29000000,173.65000000,180.24000000
2019/10/03,180.24000000,180.72000000,169.55000000,174.69000000
2019/10/04,174.71000000,178.98000000,170.74000000,175.55000000
2019/10/05,175.55000000,176.71000000,172.02000000,176.25000000
2019/10/06,176.23000000,177.04000000,167.68000000,170.10000000
2019/10/07,170.08000000,182.32000000,168.68000000,179.85000000
2019/10/08,179.88000000,184.87000000,177.00000000,180.60000000
2019/10/09,180.61000000,195.53000000,178.96000000,192.62000000
2019/10/10,192.61000000,194.20000000,186.88000000,191.14000000
2019/10/11,191.18000000,196.65000000,179.41000000,180.72000000
2019/10/12,180.65000000,184.64000000,177.59000000,179.68000000
2019/10/13,179.65000000,184.95000000,178.52000000,180.99000000
2019/10/14,180.98000000,187.54000000,180.43000000,186.72000000
2019/10/15,186.70000000,188.37000000,175.96000000,180.49000000
2019/10/16,180.52000000,181.44000000,171.81000000,174.47000000
2019/10/17,174.52000000,178.96000000,172.61000000,177.16000000
2019/10/18,177.17000000,177.44000000,168.66000000,172.74000000
2019/10/19,172.78000000,174.98000000,169.44000000,171.79000000
2019/10/20,171.84000000,176.88000000,169.21000000,175.22000000
2019/10/21,175.18000000,177.90000000,171.59000000,173.98000000
2019/10/22,174.00000000,175.04000000,170.30000000,171.20000000
2019/10/23,171.19000000,171.49000000,153.45000000,162.35000000
2019/10/24,162.35000000,163.72000000,158.72000000,160.38000000
2019/10/25,160.39000000,187.78000000,160.25000000,181.50000000
2019/10/26,181.53000000,197.74000000,173.80000000,179.49000000
2019/10/27,179.42000000,188.70000000,176.22000000,183.75000000
2019/10/28,183.84000000,189.48000000,180.35000000,181.72000000
2019/10/29,181.67000000,192.74000000,181.26000000,190.46000000
2019/10/30,190.45000000,191.71000000,179.28000000,183.13000000
2019/10/31,183.14000000,185.27000000,177.66000000,182.18000000
2019/11/01,182.19000000,184.50000000,177.02000000,182.85000000
2019/11/02,182.86000000,186.00000000,181.53000000,182.91000000
2019/11/03,182.90000000,184.70000000,178.95000000,181.54000000
2019/11/04,181.53000000,188.64000000,180.36000000,185.71000000
2019/11/05,185.71000000,192.51000000,182.22000000,188.68000000
2019/11/06,188.65000000,195.09000000,187.72000000,191.16000000
2019/11/07,191.16000000,192.27000000,184.59000000,186.68000000
2019/11/08,186.67000000,188.26000000,181.41000000,183.74000000
2019/11/09,183.71000000,185.79000000,182.63000000,184.89000000
2019/11/10,184.86000000,191.58000000,183.30000000,188.96000000
2019/11/11,188.96000000,190.19000000,184.06000000,184.98000000
2019/11/12,184.98000000,187.65000000,182.41000000,187.09000000
2019/11/13,187.09000000,189.66000000,185.30000000,188.11000000
2019/11/14,188.07000000,188.72000000,183.34000000,184.92000000
2019/11/15,184.93000000,186.70000000,177.67000000,180.00000000
