ts,o,h,l,c
2020/07/09,2.89300000,3.39800000,2.71000000,2.95600000
2020/07/10,2.95600000,2.97400000,2.76300000,2.92100000
2020/07/11,2.92100000,2.92700000,2.65400000,2.80900000
2020/07/12,2.80600000,2.84300000,2.73000000,2.78000000
2020/07/13,2.78000000,2.84000000,2.50000000,2.54100000
2020/07/14,2.53800000,2.75000000,2.38400000,2.74700000
2020/07/15,2.74700000,3.15000000,2.70400000,3.05000000
2020/07/16,3.05000000,3.25000000,2.78200000,3.09700000
2020/07/17,3.09700000,3.60000000,3.05300000,3.30800000
2020/07/18,3.30700000,3.52000000,3.16900000,3.37100000
2020/07/19,3.38100000,3.53500000,3.28800000,3.29700000
2020/07/20,3.29900000,4.19900000,3.27000000,3.84900000
2020/07/21,3.84000000,4.02900000,3.34100000,3.47900000
2020/07/22,3.47900000,3.79000000,3.35100000,3.47900000
2020/07/23,3.47900000,3.62000000,3.10000000,3.35000000
2020/07/24,3.34600000,3.62700000,3.23500000,3.33700000
2020/07/25,3.33700000,3.72100000,3.29600000,3.54100000
2020/07/26,3.54200000,3.56500000,3.00000000,3.15500000
2020/07/27,3.15400000,3.22000000,2.67000000,2.86900000
2020/07/28,2.86900000,3.48000000,2.86900000,3.37200000
2020/07/29,3.37200000,3.38600000,3.07000000,3.27300000
2020/07/30,3.27300000,3.68300000,3.26500000,3.54700000
2020/07/31,3.54700000,3.96500000,3.48600000,3.95200000
2020/08/01,3.95100000,4.11100000,3.57700000,3.79300000
2020/08/02,3.79200000,4.43700000,3.50000000,4.26600000
2020/08/03,4.26600000,4.38700000,3.89000000,4.14800000
2020/08/04,4.14800000,4.56300000,4.13600000,4.47000000
2020/08/05,4.46100000,4.69000000,4.28000000,4.33900000
2020/08/06,4.33900000,4.74000000,4.29200000,4.45000000
2020/08/07,4.45100000,4.62700000,4.13000000,4.29700000
2020/08/08,4.29700000,4.45000000,4.20000000,4.34900000
2020/08/09,4.34400000,4.38300000,4.17500000,4.24100000
2020/08/10,4.24300000,5.03900000,4.24300000,4.82200000
2020/08/11,4.81700000,4.89900000,4.17000000,4.87900000
2020/08/12,4.87900000,5.92100000,4.84700000,5.64300000
2020/08/13,5.64400000,6.00000000,4.73600000,5.07200000
2020/08/14,5.07000000,6.49500000,4.93000000,6.15000000
2020/08/15,6.14600000,7.46000000,5.90000000,6.85900000
2020/08/16,6.85900000,6.88700000,6.10000000,6.40500000
2020/08/17,6.39800000,6.87500000,6.07200000,6.17700000
2020/08/18,6.15600000,6.68000000,5.51900000,6.14500000
2020/08/19,6.14600000,6.40900000,5.40000000,6.09100000
2020/08/20,6.09200000,6.77000000,6.06100000,6.17500000
2020/08/21,6.17600000,6.27000000,5.21000000,5.31500000
2020/08/22,5.32400000,6.04800000,5.10600000,5.83100000
2020/08/23,5.82900000,5.89100000,5.34400000,5.67800000
2020/08/24,5.68800000,6.30000000,5.53500000,6.23100000
2020/08/25,6.23900000,6.57000000,5.50000000,5.86700000
2020/08/26,5.85900000,6.45000000,5.82300000,6.12100000
2020/08/27,6.12100000,6.43000000,5.86000000,6.09300000
2020/08/28,6.09200000,7.11200000,6.00400000,6.86600000
2020/08/29,6.86600000,7.00000000,6.46600000,6.52900000
2020/08/30,6.52000000,7.41500000,6.50000000,7.30100000
2020/08/31,7.30000000,7.56800000,6.90700000,7.33600000
2020/09/01,7.33600000,7.88000000,7.08400000,7.10400000
2020/09/02,7.10300000,7.20000000,5.90000000,6.38300000
2020/09/03,6.37300000,6.58500000,5.02800000,5.25500000
2020/09/04,5.25600000,5.78800000,4.70600000,5.33200000
2020/09/05,5.32100000,7.00000000,3.65000000,4.47200000
2020/09/06,4.47700000,5.21200000,4.10000000,4.95500000
2020/09/07,4.95100000,5.06500000,4.10400000,4.64400000
2020/09/08,4.63500000,4.71500000,4.02800000,4.24600000
2020/09/09,4.24800000,5.25000000,4.17300000,4.99400000
2020/09/10,5.00000000,5.87000000,4.98600000,5.72500000
2020/09/11,5.72500000,5.99800000,5.35700000,5.98500000
2020/09/12,5.98500000,6.17800000,5.61200000,6.13100000
2020/09/13,6.14000000,6.28600000,5.06000000,5.38800000
2020/09/14,5.38000000,5.54700000,5.10800000,5.18800000
2020/09/15,5.18800000,5.51700000,4.44400000,4.49200000
2020/09/16,4.49300000,4.97800000,4.13100000,4.79400000
2020/09/17,4.79400000,5.03900000,4.33600000,4.48700000
2020/09/18,4.48300000,4.74500000,4.33300000,4.55400000
2020/09/19,4.55800000,4.56900000,4.20000000,4.29900000
2020/09/20,4.29500000,4.54800000,4.07100000,4.19000000
2020/09/21,4.18600000,4.25800000,3.46100000,3.61800000
2020/09/22,3.61800000,4.31700000,3.57100000,4.28200000
2020/09/23,4.28200000,4.42000000,3.67000000,3.70000000
2020/09/24,3.70200000,4.48000000,3.67100000,4.40700000
2020/09/25,4.40300000,5.20000000,4.29400000,4.91500000
2020/09/26,4.90600000,5.35700000,4.77700000,5.22100000
2020/09/27,5.22000000,5.49000000,4.59000000,5.15700000
2020/09/28,5.15700000,5.49500000,4.80700000,4.94000000
2020/09/29,4.93400000,5.05200000,4.70000000,4.96800000
2020/09/30,4.97300000,4.99000000,4.40100000,4.73800000
2020/10/01,4.73400000,4.99400000,4.36700000,4.69200000
2020/10/02,4.69300000,4.69300000,3.97300000,4.41300000
2020/10/03,4.41300000,4.58900000,4.36700000,4.38000000
2020/10/04,4.37600000,4.55400000,4.26600000,4.38300000
2020/10/05,4.38100000,4.50800000,4.13200000,4.18600000
2020/10/06,4.19000000,4.20500000,3.57900000,3.63500000
2020/10/07,3.62700000,3.95500000,3.48500000,3.94100000
2020/10/08,3.93600000,4.06600000,3.63400000,3.95700000
2020/10/09,3.95400000,4.38900000,3.75800000,4.29400000
2020/10/10,4.29300000,4.50000000,4.17800000,4.29600000
2020/10/11,4.29600000,4.31300000,4.03500000,4.17200000
2020/10/12,4.17200000,4.79900000,4.08100000,4.63700000
2020/10/13,4.64000000,4.73000000,4.34400000,4.50600000
2020/10/14,4.51300000,4.59900000,4.23500000,4.27300000
2020/10/15,4.26900000,4.28500000,3.87100000,3.91200000
2020/10/16,3.90700000,4.14500000,3.72000000,3.91300000
2020/10/17,3.91400000,4.03400000,3.82800000,3.96000000
2020/10/18,3.95800000,4.02900000,3.88900000,3.95700000
2020/10/19,3.96400000,3.97000000,3.69200000,3.72500000
2020/10/20,3.71900000,3.72900000,3.34300000,3.70200000
