,open,high,low,close,volume,value
2021-03-28 18:00:00,4980.0,5015.0,4945.0,4950.0,431404.31519332,2150433503.9421325
2021-03-28 19:00:00,4950.0,4965.0,4910.0,4930.0,471049.70413905,2323720640.40419
2021-03-28 20:00:00,4930.0,4940.0,4900.0,4920.0,398564.26528196,1962244682.9668365
2021-03-28 21:00:00,4920.0,4940.0,4870.0,4915.0,741234.46819185,3634853060.673137
2021-03-28 22:00:00,4915.0,4975.0,4910.0,4945.0,575014.93902081,2846639784.0886188
2021-03-28 23:00:00,4945.0,4945.0,4915.0,4930.0,391486.10660971,1930127547.531842
2021-03-29 00:00:00,4935.0,4960.0,4920.0,4955.0,364363.78113875,1800370484.3405638
2021-03-29 01:00:00,4955.0,5045.0,4935.0,5035.0,618516.12137686,3093589987.1916485
2021-03-29 02:00:00,5035.0,5035.0,4995.0,5000.0,163811.9032814,820466123.6040003
2021-03-29 03:00:00,5000.0,5010.0,4935.0,4940.0,218830.23702776,1085568658.4628088
2021-03-29 04:00:00,4950.0,4975.0,4920.0,4955.0,112632.01822385,557043307.5119818
2021-03-29 05:00:00,4955.0,4960.0,4920.0,4925.0,69802.67621112,344675555.8818678
2021-03-29 06:00:00,4925.0,4945.0,4920.0,4930.0,140878.86318082,694497083.2335356
2021-03-29 07:00:00,4935.0,4955.0,4925.0,4945.0,177860.70462172,879154648.9459698
2021-03-29 08:00:00,4950.0,4960.0,4935.0,4950.0,251812.63262325,1245351967.2795527
2021-03-29 09:00:00,4950.0,4955.0,4895.0,4900.0,659884.61862282,3249252507.4978695
2021-03-29 10:00:00,4900.0,4950.0,4900.0,4945.0,405376.44158639,1995241366.6824515
2021-03-29 11:00:00,4945.0,5005.0,4935.0,4975.0,488944.21288721,2433578975.0310125
2021-03-29 12:00:00,4970.0,5005.0,4965.0,4980.0,344754.81002673,1717415262.4590588
2021-03-29 13:00:00,4980.0,5015.0,4965.0,4980.0,405255.96970967,2019873956.7483947
2021-03-29 14:00:00,4980.0,5170.0,4980.0,5075.0,1805329.10820746,9202327776.09314
2021-03-29 15:00:00,5075.0,5105.0,5055.0,5070.0,424972.82756248,2155601768.1310363
2021-03-29 16:00:00,5070.0,5090.0,5045.0,5045.0,412021.79904894,2091327200.144191
2021-03-29 17:00:00,5045.0,5120.0,5045.0,5090.0,607037.14460967,3084284933.879333
2021-03-29 18:00:00,5090.0,5130.0,5080.0,5115.0,742477.39266963,3792774343.0994544
2021-03-29 19:00:00,5115.0,5175.0,5080.0,5085.0,636446.03674291,3251762632.3859167
2021-03-29 20:00:00,5090.0,5110.0,5050.0,5065.0,615079.04582687,3120023087.9747305
2021-03-29 21:00:00,5060.0,5110.0,5060.0,5095.0,606956.32876115,3091585987.813261
2021-03-29 22:00:00,5100.0,5115.0,5080.0,5080.0,568574.14457474,2895715340.4381833
2021-03-29 23:00:00,5085.0,5090.0,5050.0,5065.0,578450.36465479,2929414400.3492203
2021-03-30 00:00:00,5055.0,5065.0,4995.0,5020.0,630171.98829656,3166064389.234166
2021-03-30 01:00:00,5020.0,5060.0,5015.0,5040.0,201206.86360455,1013932339.215691
2021-03-30 02:00:00,5040.0,5055.0,5025.0,5050.0,168027.48466505,846850745.5503976
2021-03-30 03:00:00,5050.0,5050.0,5015.0,5020.0,269298.34099734,1354376558.725086
2021-03-30 04:00:00,5020.0,5075.0,5015.0,5045.0,222746.7193196,1125571900.3597684
2021-03-30 05:00:00,5045.0,5050.0,5010.0,5015.0,226108.11232015,1137354581.194981
2021-03-30 06:00:00,5020.0,5085.0,5010.0,5075.0,401975.59763748,2033238577.1750906
2021-03-30 07:00:00,5075.0,5085.0,5050.0,5075.0,431570.70397071,2186344864.120099
2021-03-30 08:00:00,5075.0,5125.0,5070.0,5095.0,599472.86923908,3051278676.537161
2021-03-30 09:00:00,5095.0,5175.0,5075.0,5150.0,865188.10059812,4428860570.528691
2021-03-30 10:00:00,5150.0,5160.0,5075.0,5095.0,734414.13051346,3761825243.4648356
2021-03-30 11:00:00,5095.0,5115.0,5075.0,5100.0,460857.71089875,2347918926.787163
2021-03-30 12:00:00,5105.0,5105.0,5040.0,5080.0,798774.49282846,4047470036.61215
2021-03-30 13:00:00,5080.0,5130.0,5065.0,5110.0,742197.98835781,3789848956.1347704
2021-03-30 14:00:00,5110.0,5115.0,5085.0,5105.0,425886.78211377,2170476005.299328
2021-03-30 15:00:00,5105.0,5130.0,5100.0,5120.0,406085.20004604,2077171199.1687343
2021-03-30 16:00:00,5115.0,5135.0,5100.0,5125.0,457891.40092162,2343358266.5395947
2021-03-30 17:00:00,5125.0,5145.0,5080.0,5105.0,648013.89957542,3306361385.1145163
2021-03-30 18:00:00,5100.0,5150.0,5095.0,5145.0,663180.37265123,3396135069.9335656
2021-03-30 19:00:00,5145.0,5175.0,5090.0,5115.0,1039489.17533069,5339387204.538217
2021-03-30 20:00:00,5115.0,5200.0,5115.0,5190.0,888920.62399725,4589235418.0996685
2021-03-30 21:00:00,5190.0,5200.0,5135.0,5140.0,911313.8915841,4699865931.374758
2021-03-30 22:00:00,5145.0,5260.0,5140.0,5225.0,1435697.15779843,7486462358.501219
2021-03-30 23:00:00,5220.0,5235.0,5190.0,5225.0,927218.88421768,4832995735.314462
2021-03-31 00:00:00,5225.0,5240.0,5150.0,5175.0,740072.62453108,3853938567.7077427
2021-03-31 01:00:00,5175.0,5210.0,5170.0,5205.0,383314.01037745,1988781381.3396134
2021-03-31 02:00:00,5205.0,5210.0,5185.0,5190.0,173105.83701304,899892551.5609736
2021-03-31 03:00:00,5190.0,5215.0,5165.0,5185.0,160998.58619454,835635363.7842904
2021-03-31 04:00:00,5175.0,5210.0,5165.0,5200.0,100703.92263535,522170718.4974704
2021-03-31 05:00:00,5200.0,5210.0,5175.0,5200.0,133937.97247229,695588035.83426
2021-03-31 06:00:00,5190.0,5275.0,5190.0,5255.0,335039.07428488,1759264901.8923225
2021-03-31 07:00:00,5255.0,5260.0,5235.0,5250.0,250946.46687892,1316637366.2727795
2021-03-31 08:00:00,5250.0,5250.0,5225.0,5235.0,335237.39401406,1755108202.9705122
2021-03-31 09:00:00,5235.0,5285.0,5210.0,5265.0,847948.11116715,4454429001.162103
2021-03-31 10:00:00,5265.0,5305.0,5255.0,5300.0,567001.24457179,2992920598.9161153
2021-03-31 11:00:00,5300.0,5305.0,5265.0,5285.0,542385.21788858,2864962854.845022
2021-03-31 12:00:00,5285.0,5300.0,4945.0,5115.0,3004347.88662265,15373932295.94182
2021-03-31 13:00:00,5105.0,5135.0,5060.0,5115.0,1012932.30091846,5164202563.362918
2021-03-31 14:00:00,5115.0,5155.0,5100.0,5145.0,380307.76131246,1949582340.9784858
2021-03-31 15:00:00,5145.0,5220.0,5135.0,5165.0,713715.11971549,3695289163.084816
2021-03-31 16:00:00,5170.0,5200.0,4965.0,5035.0,1513789.15996139,7721289634.588843
2021-03-31 17:00:00,5045.0,5100.0,4975.0,5090.0,1186925.41665813,5979743479.465382
2021-03-31 18:00:00,5090.0,5115.0,5045.0,5060.0,563199.37850338,2861373500.7797356
2021-03-31 19:00:00,5060.0,5080.0,5005.0,5045.0,518707.68456197,2610713869.0973325
2021-03-31 20:00:00,5045.0,5085.0,5045.0,5070.0,386715.38492986,1960380956.1605597
2021-03-31 21:00:00,5065.0,5155.0,5045.0,5150.0,765117.92634929,3903852305.2595596
2021-03-31 22:00:00,5155.0,5220.0,5130.0,5170.0,1184191.80595107,6129335551.513422
2021-03-31 23:00:00,5170.0,5480.0,5150.0,5410.0,4354376.85904987,23365025172.094013
2021-04-01 00:00:00,5410.0,5425.0,5340.0,5360.0,1061570.4665042,5713957371.425593
2021-04-01 01:00:00,5360.0,5430.0,5300.0,5350.0,952221.87340273,5095702595.550057
2021-04-01 02:00:00,5345.0,5640.0,5345.0,5580.0,1324449.8938172,7327981065.75939
2021-04-01 03:00:00,5580.0,5585.0,5580.0,5585.0,102.62682516,572784.8578928
2021-04-01 04:00:00,5585.0,5655.0,5535.0,5580.0,318082.09452233,1784765437.9729242
2021-04-01 05:00:00,5585.0,5885.0,5555.0,5745.0,2062985.51263962,11923748810.7116
2021-04-01 06:00:00,5745.0,5820.0,5660.0,5750.0,1034650.46470863,5937601986.14174
2021-04-01 07:00:00,5745.0,5975.0,5705.0,5860.0,1687777.95902962,9878118282.184502
2021-04-01 08:00:00,5855.0,5900.0,5780.0,5840.0,1382486.91597762,8057607139.308154
2021-04-01 09:00:00,5830.0,6130.0,5730.0,5935.0,4430386.17727409,26408033828.529552
2021-04-01 10:00:00,5935.0,5950.0,5705.0,5820.0,2290654.37710083,13319320581.389238
2021-04-01 11:00:00,5825.0,5855.0,5755.0,5815.0,940842.66804989,5453656373.407902
2021-04-01 12:00:00,5820.0,5825.0,5740.0,5755.0,600014.25507693,3465011505.562799
