date,close,open,high,low,changes_%
2021-09-24,1175.45,1174.60,1177.75,1171.95,0.07
2021-09-23,1174.63,1181.99,1186.62,1170.36,-0.60
2021-09-22,1181.75,1184.41,1185.53,1178.25,-0.19
2021-09-21,1183.96,1187.39,1188.61,1182.66,-0.14
2021-09-20,1185.67,1181.56,1192.41,1181.47,0.42
2021-09-17,1180.69,1175.36,1182.81,1174.23,0.47
2021-09-16,1175.19,1166.39,1176.94,1165.20,0.77
2021-09-15,1166.23,1172.41,1174.70,1164.77,-0.51
2021-09-14,1172.23,1173.44,1175.20,1166.38,-0.05
2021-09-13,1172.83,1170.38,1177.53,1170.02,0.22
2021-09-10,1170.23,1169.81,1174.13,1164.83,0.05
2021-09-09,1169.64,1167.14,1172.21,1166.05,0.27
2021-09-08,1166.54,1162.16,1168.83,1161.15,0.39
2021-09-07,1161.98,1157.33,1166.02,1155.00,0.43
2021-09-06,1157.04,1155.75,1159.97,1154.53,0.24
2021-09-03,1154.28,1158.23,1159.71,1152.54,-0.33
2021-09-02,1158.05,1156.08,1162.44,1155.05,0.22
2021-09-01,1155.47,1158.95,1160.64,1154.54,-0.28
2021-08-31,1158.73,1166.07,1167.43,1155.18,-0.48
2021-08-30,1164.34,1162.33,1167.71,1161.88,0.27
2021-08-27,1161.23,1170.71,1174.77,1160.89,-0.79
2021-08-26,1170.53,1164.05,1172.01,1162.97,0.57
2021-08-25,1163.87,1164.02,1169.37,1162.92,0.02
2021-08-24,1163.65,1169.06,1171.57,1163.10,-0.49
2021-08-23,1169.36,1175.24,1177.56,1167.43,-0.49
2021-08-20,1175.15,1176.46,1184.85,1171.21,-0.10
2021-08-19,1176.28,1170.28,1178.40,1169.66,0.53
2021-08-18,1170.03,1177.44,1179.94,1166.89,-0.62
2021-08-17,1177.30,1165.45,1179.80,1164.60,1.03
2021-08-16,1165.28,1162.37,1168.81,1161.46,0.34
2021-08-13,1161.37,1163.16,1171.15,1160.38,-0.14
2021-08-12,1162.98,1154.16,1166.15,1152.96,0.78
2021-08-11,1153.98,1152.90,1159.69,1151.89,0.11
2021-08-10,1152.70,1147.07,1154.29,1145.78,0.51
2021-08-09,1146.89,1145.93,1148.86,1142.35,0.17
2021-08-06,1144.93,1142.94,1148.29,1140.15,0.20
2021-08-05,1142.59,1144.94,1146.84,1140.62,-0.19
2021-08-04,1144.76,1148.63,1149.72,1140.02,-0.32
2021-08-03,1148.44,1150.35,1153.91,1146.59,-0.15
2021-08-02,1150.18,1151.90,1154.60,1148.52,-0.11
2021-07-30,1151.41,1143.30,1154.78,1142.04,0.73
2021-07-29,1143.12,1150.44,1152.12,1140.48,-0.62
2021-07-28,1150.27,1154.44,1159.96,1149.24,-0.34
2021-07-27,1154.25,1152.71,1158.65,1148.86,0.15
2021-07-26,1152.54,1152.12,1157.24,1151.26,0.09
2021-07-23,1151.52,1150.86,1155.41,1147.15,0.08
2021-07-22,1150.55,1149.48,1153.12,1146.85,0.11
2021-07-21,1149.31,1148.46,1156.44,1147.07,0.16
2021-07-20,1147.47,1151.92,1153.07,1146.55,-0.29
2021-07-19,1150.83,1142.50,1155.59,1141.85,0.82
2021-07-16,1141.51,1141.77,1144.28,1137.99,-0.01
2021-07-15,1141.59,1144.36,1148.31,1138.93,-0.23
2021-07-14,1144.22,1150.11,1152.27,1142.63,-0.50
2021-07-13,1149.94,1147.18,1152.90,1141.21,0.27
2021-07-12,1146.85,1145.31,1150.06,1144.18,0.27
2021-07-09,1143.73,1146.81,1150.52,1143.18,-0.25
2021-07-08,1146.59,1141.65,1151.69,1139.55,0.45
2021-07-07,1141.50,1136.93,1144.27,1135.03,0.42
2021-07-06,1136.75,1130.59,1139.97,1129.03,0.56
2021-07-05,1130.42,1130.77,1132.72,1128.13,-0.01
2021-07-02,1130.53,1134.51,1138.60,1129.60,-0.33
2021-07-01,1134.33,1130.63,1135.98,1128.28,0.34
2021-06-30,1130.48,1131.80,1132.89,1125.59,-0.10
2021-06-29,1131.62,1130.21,1134.77,1127.65,0.14
2021-06-28,1130.04,1127.34,1132.68,1126.58,0.26
2021-06-25,1127.12,1131.87,1133.10,1124.10,-0.32
2021-06-24,1130.78,1136.03,1138.69,1129.97,-0.45
2021-06-23,1135.85,1133.73,1138.63,1131.17,0.20
2021-06-22,1133.57,1131.57,1138.81,1130.35,0.19
2021-06-21,1131.40,1135.24,1139.47,1130.91,-0.31
2021-06-18,1134.94,1134.47,1138.14,1128.06,0.06
2021-06-17,1134.30,1132.84,1137.00,1127.35,0.14
2021-06-16,1132.68,1118.09,1137.17,1115.74,1.40
2021-06-15,1117.09,1117.33,1119.39,1116.14,0.07
2021-06-14,1116.33,1116.55,1120.05,1114.45,-0.01
2021-06-11,1116.40,1112.56,1118.54,1109.25,0.37
2021-06-10,1112.32,1117.03,1119.26,1111.93,-0.29
2021-06-09,1115.61,1117.72,1119.02,1112.30,-0.19
2021-06-08,1117.72,1110.80,1118.81,1108.99,0.64
2021-06-07,1110.62,1110.68,1114.53,1109.07,0.01
2021-06-04,1110.52,1116.64,1119.51,1108.77,-0.53
2021-06-03,1116.46,1111.10,1118.82,1108.86,0.50
2021-06-02,1110.92,1108.49,1114.81,1106.78,0.23
2021-06-01,1108.38,1108.08,1110.59,1104.69,0.16
2021-05-31,1106.58,1113.83,1117.42,1106.50,-0.58
2021-05-28,1113.08,1118.72,1119.35,1112.86,-0.49
2021-05-27,1118.55,1116.79,1120.32,1115.07,0.17
2021-05-26,1116.61,1122.54,1123.49,1114.67,-0.51
2021-05-25,1122.36,1123.60,1126.55,1120.35,-0.10
2021-05-24,1123.48,1127.86,1129.60,1122.80,-0.37
2021-05-21,1127.63,1127.99,1129.36,1122.24,0.00
2021-05-20,1127.66,1131.35,1134.41,1127.17,-0.31
2021-05-19,1131.18,1127.07,1133.31,1124.60,0.38
2021-05-18,1126.93,1136.91,1139.74,1125.64,-0.86
2021-05-17,1136.73,1126.52,1139.74,1125.95,0.97
2021-05-14,1125.79,1126.89,1131.31,1125.23,-0.08
2021-05-13,1126.73,1132.92,1136.13,1126.17,-0.53
2021-05-12,1132.73,1119.67,1133.94,1118.74,1.17
2021-05-11,1119.58,1116.83,1122.39,1114.95,0.26
2021-05-10,1116.68,1112.97,1118.10,1110.49,0.49
2021-05-07,1111.23,1120.45,1123.67,1109.48,-0.81
2021-05-06,1120.28,1125.02,1127.02,1119.63,-0.39
2021-05-05,1124.72,1125.94,1128.30,1122.18,-0.09
2021-05-04,1125.77,1120.50,1128.92,1118.84,0.48
2021-05-03,1120.34,1117.76,1124.94,1115.51,0.28
2021-04-30,1117.16,1107.81,1119.45,1106.52,0.86
2021-04-29,1107.63,1110.06,1111.17,1105.30,-0.20
2021-04-28,1109.88,1113.43,1115.52,1108.31,-0.31
2021-04-27,1113.33,1110.44,1114.55,1108.27,0.28
2021-04-26,1110.27,1115.85,1116.95,1108.96,-0.40
2021-04-23,1114.72,1120.18,1121.54,1113.94,-0.36
2021-04-22,1118.79,1116.70,1121.69,1114.13,0.22
2021-04-21,1116.35,1117.45,1121.61,1114.78,-0.08
2021-04-20,1117.28,1115.51,1119.74,1110.29,0.17
2021-04-19,1115.33,1117.05,1120.26,1112.94,-0.10
2021-04-16,1116.50,1116.85,1121.57,1113.06,-0.02
2021-04-15,1116.68,1116.26,1119.82,1113.01,0.05
2021-04-14,1116.08,1121.55,1123.91,1112.09,-0.47
2021-04-13,1121.37,1125.23,1128.42,1120.38,-0.26
2021-04-12,1124.32,1121.77,1127.28,1120.29,0.30
2021-04-09,1120.98,1116.75,1122.58,1113.15,0.46
2021-04-08,1115.83,1119.20,1121.56,1114.59,-0.29
2021-04-07,1119.03,1119.29,1120.36,1114.67,-0.01
2021-04-06,1119.17,1125.04,1125.68,1116.57,-0.45
2021-04-05,1124.18,1129.69,1130.03,1122.45,-0.40
2021-04-02,1128.64,1128.86,1130.38,1126.29,-0.01
2021-04-01,1128.72,1127.96,1133.82,1125.31,0.14
2021-03-31,1127.17,1133.54,1134.68,1125.32,-0.48
2021-03-30,1132.59,1132.56,1136.29,1131.42,0.09
2021-03-29,1131.56,1128.95,1136.41,1128.77,0.27
2021-03-26,1128.52,1135.24,1136.09,1128.07,-0.58
2021-03-25,1135.12,1135.40,1138.02,1131.93,0.02
2021-03-24,1134.90,1133.40,1135.96,1130.24,0.18
2021-03-23,1132.90,1126.49,1134.48,1125.02,0.61
2021-03-22,1126.00,1129.47,1134.01,1125.61,-0.28
2021-03-19,1129.12,1128.25,1134.80,1125.31,0.12
2021-03-18,1127.75,1121.91,1131.30,1120.04,0.58
2021-03-17,1121.21,1129.93,1134.31,1120.65,-0.69
2021-03-16,1129.00,1132.85,1135.91,1128.14,-0.30
2021-03-15,1132.35,1136.50,1138.78,1130.92,-0.32
2021-03-12,1136.00,1130.85,1139.35,1127.27,0.50
2021-03-11,1130.35,1136.91,1140.99,1128.90,-0.49
2021-03-10,1135.91,1135.91,1145.60,1135.31,0.09
2021-03-09,1134.91,1141.83,1144.85,1133.38,-0.52
2021-03-08,1140.83,1128.85,1144.07,1127.06,1.14
2021-03-05,1128.00,1131.03,1137.27,1124.04,-0.25
2021-03-04,1130.87,1127.05,1133.06,1123.36,0.43
2021-03-03,1126.05,1125.29,1128.05,1116.95,0.09
2021-03-02,1125.01,1113.53,1128.28,1102.06,1.05
2021-03-01,1113.33,1124.89,1125.15,1113.09,-0.94
2021-02-26,1123.89,1119.47,1130.33,1118.41,0.46
2021-02-25,1118.77,1107.54,1121.61,1105.70,1.04
2021-02-24,1107.27,1110.22,1113.75,1106.08,-0.26
2021-02-23,1110.13,1112.58,1114.81,1108.24,-0.13
2021-02-22,1111.59,1106.02,1116.10,1102.83,0.66
2021-02-19,1104.27,1107.08,1111.28,1102.22,-0.24
2021-02-18,1106.96,1106.50,1110.15,1103.19,0.12
2021-02-17,1105.61,1107.58,1110.81,1104.49,-0.09
2021-02-16,1106.58,1102.31,1109.55,1096.91,0.48
2021-02-15,1101.31,1104.37,1106.00,1100.70,-0.12
2021-02-12,1102.59,1103.12,1107.59,1101.73,0.04
2021-02-11,1102.12,1106.48,1108.02,1102.05,-0.30
2021-02-10,1105.48,1111.01,1114.16,1103.59,-0.49
2021-02-09,1110.88,1117.31,1118.75,1110.08,-0.42
2021-02-08,1115.61,1117.76,1122.17,1116.05,-0.10
2021-02-05,1116.77,1120.11,1127.85,1116.22,-0.29
2021-02-04,1120.00,1113.58,1122.74,1112.48,0.59
2021-02-03,1113.46,1115.51,1117.25,1111.80,-0.17
2021-02-02,1115.37,1117.44,1119.70,1113.65,-0.10
2021-02-01,1116.51,1118.43,1120.98,1115.55,-0.10
2021-01-29,1117.64,1113.24,1121.76,1112.15,0.46
2021-01-28,1112.52,1108.42,1121.36,1107.49,0.37
2021-01-27,1108.38,1102.01,1109.90,1100.87,0.67
2021-01-26,1101.02,1102.69,1108.24,1100.47,-0.14
2021-01-25,1102.58,1105.54,1105.92,1100.05,-0.26
2021-01-22,1105.41,1099.97,1107.29,1098.95,0.50
2021-01-21,1099.88,1097.35,1102.67,1096.59,0.32
2021-01-20,1096.35,1102.44,1103.39,1096.88,-0.46
2021-01-19,1101.44,1104.18,1106.17,1100.20,-0.10
2021-01-18,1102.52,1104.26,1108.42,1102.28,-0.07
2021-01-15,1103.27,1096.04,1105.33,1094.93,0.67
2021-01-14,1095.88,1098.11,1103.42,1093.93,-0.11
2021-01-13,1097.12,1094.60,1099.33,1092.37,0.24
2021-01-12,1094.48,1097.38,1103.46,1092.97,-0.25
2021-01-11,1097.23,1093.01,1101.05,1092.73,0.39
2021-01-08,1092.93,1094.35,1099.21,1088.79,-0.12
2021-01-07,1094.28,1088.03,1096.78,1085.42,0.58
2021-01-06,1087.93,1087.40,1089.79,1083.91,0.14
2021-01-05,1086.42,1086.69,1090.33,1082.04,-0.01
2021-01-04,1086.48,1085.73,1088.30,1080.02,0.16
2021-01-01,1084.73,1085.69,1086.10,1085.25,0.02
2020-12-31,1084.47,1088.43,1090.35,1082.97,-0.29
2020-12-30,1087.62,1091.97,1093.92,1084.52,-0.31
2020-12-29,1090.97,1097.30,1098.57,1090.63,-0.42
2020-12-28,1095.60,1100.08,1103.55,1093.51,-0.32
2020-12-25,1099.07,1102.66,1102.81,1100.03,-0.23
2020-12-24,1101.59,1106.87,1107.47,1100.48,-0.46
2020-12-23,1106.65,1109.94,1111.05,1104.68,-0.28
2020-12-22,1109.72,1104.31,1111.05,1102.46,0.65
2020-12-21,1102.55,1099.48,1112.74,1097.94,0.29
2020-12-18,1099.39,1094.01,1100.78,1092.34,0.58
2020-12-17,1093.01,1094.12,1095.43,1090.27,0.06
2020-12-16,1092.36,1089.56,1096.55,1088.05,0.27
2020-12-15,1089.43,1093.32,1096.14,1088.49,-0.33
2020-12-14,1093.07,1091.80,1094.91,1088.85,0.13
2020-12-11,1091.67,1087.34,1094.56,1085.27,0.56
2020-12-10,1085.55,1087.38,1091.93,1084.12,-0.09
2020-12-09,1086.48,1085.79,1088.97,1080.82,0.15
2020-12-08,1084.86,1084.53,1087.79,1082.49,0.12
2020-12-07,1083.53,1083.87,1088.35,1080.39,-0.02
2020-12-04,1083.77,1092.20,1093.71,1080.57,-0.76
2020-12-03,1092.08,1100.16,1101.91,1089.70,-0.72
2020-12-02,1100.02,1106.23,1107.01,1099.22,-0.52
2020-12-01,1105.73,1109.82,1110.35,1105.20,-0.32
2020-11-30,1109.32,1105.02,1110.34,1103.20,0.44
2020-11-27,1104.43,1106.07,1107.47,1102.43,-0.10
2020-11-26,1105.57,1106.33,1108.77,1103.13,-0.06
2020-11-25,1106.21,1110.64,1111.51,1104.69,-0.36
2020-11-24,1110.24,1114.01,1114.68,1108.08,-0.29
2020-11-23,1113.51,1115.08,1116.82,1109.91,-0.13
2020-11-20,1114.95,1114.09,1117.87,1112.31,0.12
2020-11-19,1113.59,1106.67,1119.09,1106.08,0.67
2020-11-18,1106.17,1105.79,1107.84,1101.61,0.07
2020-11-17,1105.38,1107.16,1108.39,1103.98,-0.15
2020-11-16,1107.04,1108.25,1110.56,1105.09,-0.05
2020-11-13,1107.62,1115.03,1117.12,1107.03,-0.65
2020-11-12,1114.86,1112.49,1116.31,1110.46,0.22
2020-11-11,1112.39,1117.20,1118.13,1108.93,-0.42
2020-11-10,1117.07,1119.45,1120.29,1113.60,-0.18
2020-11-09,1119.06,1121.91,1122.35,1110.42,-0.21
2020-11-06,1121.40,1123.38,1127.18,1118.45,-0.13
2020-11-05,1122.88,1129.66,1134.41,1121.60,-0.42
2020-11-04,1127.65,1131.39,1147.82,1125.47,-0.32
2020-11-03,1131.32,1133.10,1137.16,1129.79,-0.14
2020-11-02,1132.95,1136.60,1137.60,1132.59,-0.31
2020-10-30,1136.49,1130.56,1139.16,1126.23,0.57
2020-10-29,1130.06,1135.14,1136.08,1130.19,-0.43
2020-10-28,1134.93,1129.28,1138.97,1126.57,0.51
2020-10-27,1129.21,1132.51,1133.43,1124.69,-0.29
2020-10-26,1132.44,1128.45,1134.16,1127.06,0.40
2020-10-23,1127.95,1135.14,1136.94,1126.23,-0.60
2020-10-22,1134.74,1133.07,1137.55,1131.96,0.19
2020-10-21,1132.54,1138.77,1140.10,1130.61,-0.51
2020-10-20,1138.39,1140.63,1141.88,1137.25,-0.15
2020-10-19,1140.06,1142.21,1143.96,1137.26,-0.18
2020-10-16,1142.13,1145.23,1148.14,1140.73,-0.26
2020-10-15,1145.14,1147.20,1149.46,1141.53,-0.17
2020-10-14,1147.14,1148.80,1150.00,1142.28,-0.10
2020-10-13,1148.30,1148.29,1151.93,1144.46,0.04
2020-10-12,1147.79,1143.65,1152.14,1143.11,0.37
2020-10-09,1143.52,1151.22,1151.87,1141.86,-0.66
2020-10-08,1151.11,1157.38,1159.31,1150.43,-0.53
2020-10-07,1157.26,1164.87,1166.56,1156.14,-0.61
2020-10-06,1164.37,1157.29,1166.07,1156.42,0.63
2020-10-05,1157.12,1166.35,1167.33,1156.59,-0.78
2020-10-02,1166.26,1162.93,1168.28,1162.18,0.29
2020-10-01,1162.83,1164.75,1165.84,1160.70,-0.16
2020-09-30,1164.65,1168.82,1171.58,1163.73,-0.35
2020-09-29,1168.73,1167.35,1171.60,1166.38,0.16
2020-09-28,1166.85,1174.44,1175.23,1166.81,-0.64
2020-09-25,1174.32,1169.60,1178.03,1168.35,0.45
